dataset_name,missing_data_type,missing_rate,iteration_nr,fixing_method,difference
pump,MCAR,20p,4,mtfsd2all4,17584789.431953017
lake3,MNAR,2p,9,interpolatelinear,11.971650000000096
lake2,MNAR,20p,8,interpolatelinear,249.59054666666623
vibr,MAR,5p,8,rpunet,106.49916105750972
lake1,MNAR,2p,6,mtfsd2all4,129.27019112596076
boiler,MCAR,5p,10,imputemean,15018.378124672516
lake1,MAR,20p,4,interpolateakima,120.03326177286226
vibr,MAR,5p,6,mtfunet,107.44085052781386
lake3,MCAR,50p,9,interpolatepolynomial,532.6911923280843
vibr,MCAR,2p,5,mtfunet,23.15295239192116
lake2,MNAR,5p,4,mtfunet,334.82117980024975
lake2,MCAR,5p,2,specunet,519.3946812461303
lake1,MAR,2p,9,specunet,170.525247564114
boiler,MAR,20p,5,interpolatelinear,437.68057287159
pump,MNAR,20p,7,imputebfill,486887.1425518282
lake1,MCAR,20p,3,mtfsd2all4,1437.3421367644103
boiler,MCAR,50p,8,interpolatepolynomial,1489.9568842578885
pump,MCAR,50p,9,gafunet,51453832.184355035
lake3,MAR,5p,1,interpolatepchip,54.81997111902825
boiler,MNAR,50p,9,imputeffill,4777.469999999985
vibr,MCAR,5p,3,interpolatenearest,113.02728623236601
boiler,MNAR,50p,8,interpolateindex,1173.9283313892163
boiler,MCAR,20p,3,interpolatecubic,555.3912884776427
lake2,MCAR,50p,8,gafsd2all4,4745.844100000019
vibr,MCAR,5p,10,mtfunet,68.68221971667576
lake2,MNAR,20p,8,imputemedian,749.5028000000018
boiler,MCAR,20p,1,mtfsd2all4,207500.5464587486
boiler,MNAR,50p,10,interpolatelinear,1157.0558922500095
vibr,MCAR,2p,5,rpsd2all4,48.935363439608935
vibr,MCAR,20p,5,mtfunet,290.1594607288772
vibr,MAR,20p,4,interpolatenearest,407.2027415791738
boiler,MCAR,5p,1,rpunet,44273.10959894119
lake2,MCAR,2p,5,interpolatepchip,20.351248094221887
lake1,MCAR,2p,9,interpolatequadratic,4.242727535038625
lake2,MNAR,5p,3,rpunet,259.80392031429346
lake2,MCAR,2p,2,imputebfill,27.417599999999766
pump,MNAR,5p,2,interpolatequadratic,114949.41372071442
lake2,MCAR,5p,7,mtfunet,444.56037774080846
boiler,MAR,5p,3,imputeffill,222.539999999997
lake2,MCAR,50p,8,interpolatequadratic,774.4244968163213
boiler,MAR,50p,3,imputemean,203005.18679731453
lake2,MCAR,2p,7,interpolatepolynomial,26.38845767524822
pump,MAR,20p,10,interpolatepchip,406444.5106732342
vibr,MCAR,5p,5,interpolatepchip,135.37481452576856
vibr,MAR,2p,1,gafunet,22.93068140161049
lake2,MNAR,50p,1,interpolatepchip,676.0852040765446
lake2,MAR,20p,3,interpolateakima,278.8266274269106
boiler,MCAR,20p,4,rpsd2all4,159692.44972783513
lake2,MNAR,50p,6,interpolatepolynomial,918.6085192918005
lake2,MCAR,20p,6,rpunet,1105.741157024529
boiler,MAR,5p,5,interpolatenearest,209.3700000000008
