dataset_name,missing_data_type,missing_rate,iteration_nr,fixing_method,difference
lake1,MCAR,20p,3,mtfsd2all4,1437.3421367644103
lake3,MAR,5p,1,interpolatepchip,54.81997111902825
vibr,MCAR,5p,3,interpolatenearest,113.02728623236601
boiler,MCAR,20p,3,interpolatecubic,555.3912884776427
boiler,MCAR,20p,1,mtfsd2all4,207500.5464587486
lake2,MCAR,2p,2,imputebfill,27.417599999999766
pump,MNAR,5p,2,interpolatequadratic,114949.41372071442
boiler,MAR,5p,3,imputeffill,222.539999999997
vibr,MAR,2p,1,gafunet,22.670122819227647
lake2,MAR,20p,3,interpolateakima,278.8266274269106
lake1,MNAR,2p,3,mtfsd2all4,155.49632536774163
lake3,MCAR,2p,2,gafsd2all4,416.5386000000001
lake1,MAR,2p,3,gafsd2all4,252.82019999999972
boiler,MAR,20p,3,specsd2all4,297134.33321302314
lake1,MNAR,5p,1,imputemode,346.52680000000083
lake2,MAR,20p,3,interpolatenearest,314.9040999999986
pump,MCAR,5p,2,interpolatepchip,96344.97748894145
pump,MCAR,20p,2,imputemedian,9425985.929976992
vibr,MNAR,20p,3,interpolatequadratic,420.4484276368244
vibr,MAR,2p,1,interpolateakima,30.17226306914276
lake1,MNAR,20p,1,interpolatepchip,108.38246153618445
boiler,MAR,20p,3,imputeffill,1166.2600000000048
lake1,MCAR,20p,2,mtfsd2all4,1408.7867709518996
boiler,MAR,20p,1,imputemedian,89041.43
lake2,MAR,5p,2,interpolatecubic,74.42921817497324
lake3,MAR,5p,3,imputemedian,220.45029999999997
pump,MAR,2p,1,rpsd2all4,3692018.7336719474
lake2,MAR,5p,2,specsd2all4,393.5279268024957
lake2,MNAR,5p,3,gafunet,416.95929920238507
boiler,MAR,2p,1,mtfsd2all4,19625.206542029297
lake1,MNAR,2p,2,gafsd2all4,240.4520999999998
lake2,MCAR,2p,1,gafunet,146.31033370267846
lake2,MCAR,5p,3,interpolatepchip,48.75032791714705
lake2,MNAR,20p,1,gafsd2all4,3527.430000000003
pump,MNAR,20p,2,interpolatecubic,499428.2957159616
boiler,MNAR,2p,3,interpolatepolynomial,51.346535598040305
lake1,MCAR,5p,3,gafunet,135.2579838182665
vibr,MAR,2p,1,interpolatenearest,30.119203576075115
pump,MNAR,20p,3,interpolateakima,407071.70109295315
lake2,MCAR,5p,2,interpolatenearest,56.98239999999976
lake1,MNAR,5p,1,interpolateakima,20.259255635696775
pump,MNAR,2p,1,interpolatelinear,39162.17838860352
boiler,MAR,5p,3,interpolatecubic,136.84266899381703
pump,MAR,5p,2,imputeffill,102180.81357799999
lake2,MCAR,2p,2,interpolatequadratic,40.848956754750816
lake3,MAR,20p,3,interpolatepolynomial,230.49376916521481
boiler,MAR,5p,2,interpolatepchip,118.40820396868673
lake2,MNAR,2p,2,imputemean,66.38166735445861
lake1,MNAR,5p,3,rpsd2all4,293.5932145178389
lake2,MAR,5p,3,imputemedian,311.88220000000115
pump,MCAR,20p,1,imputemean,10247560.721894016
lake2,MNAR,20p,3,gafsd2all4,3535.289200000003
lake3,MCAR,20p,1,interpolateindex,156.42410000000015
lake2,MNAR,2p,3,interpolatepchip,20.867156662456864
lake2,MNAR,5p,1,gafsd2all4,882.9518658381767
pump,MCAR,20p,2,gafsd2all4,43562829.49415129
lake3,MNAR,2p,1,gafsd2all4,393.0698311073414
lake3,MAR,2p,3,interpolatepolynomial,28.19715894882171
lake3,MNAR,2p,2,imputeffill,14.015800000000013
lake1,MNAR,2p,3,specsd2all4,162.2358921099468
vibr,MAR,5p,2,imputeffill,84.73108062558978
lake1,MAR,20p,3,rpsd2all4,1168.1231496916662
vibr,MCAR,2p,1,rpsd2all4,41.58155962494281
lake2,MAR,5p,2,imputebfill,80.12149999999963
lake3,MCAR,5p,3,interpolateindex,30.504000000000303
vibr,MAR,20p,2,interpolatepchip,368.89115403444816
lake1,MCAR,2p,2,interpolatecubic,7.30941652172578
vibr,MNAR,5p,2,imputemode,124.30979073624067
boiler,MAR,20p,2,gafunet,99004.82853234647
lake1,MCAR,5p,1,interpolatecubic,25.149880729787185
boiler,MAR,5p,1,imputemedian,23054.080000000005
lake2,MNAR,20p,2,interpolateindex,220.112763333334
lake1,MAR,5p,3,imputemedian,277.9791999999998
vibr,MAR,5p,3,imputeffill,126.76502121872926
boiler,MCAR,5p,3,interpolatepolynomial,132.43481922067326
boiler,MCAR,2p,1,imputemode,6418.359999999995
lake2,MAR,5p,1,imputemedian,358.13840000000016
vibr,MCAR,2p,2,mtfsd2all4,50.19437409380207
lake3,MCAR,20p,3,imputeffill,189.39629999999968
lake3,MAR,5p,1,imputemean,266.03401133079853
lake1,MAR,2p,1,interpolatecubic,8.128447879326757
lake1,MAR,20p,2,imputemean,1189.1709534296028
lake3,MNAR,5p,3,mtfsd2all4,309.92461743700255
lake1,MAR,5p,2,imputeffill,54.03769999999997
vibr,MNAR,20p,1,interpolatelinear,337.826648275774
pump,MNAR,5p,3,gafsd2all4,10882738.095046487
lake1,MCAR,20p,1,rpsd2all4,1080.381369904073
pump,MAR,5p,1,rpsd2all4,9051240.99105867
vibr,MCAR,2p,2,gafsd2all4,49.52997025682058
pump,MAR,20p,1,imputebfill,504354.0248009414
boiler,MAR,20p,1,rpsd2all4,153126.3060564717
lake3,MNAR,2p,1,interpolateakima,9.277314369881651
vibr,MNAR,20p,3,interpolateakima,376.89737338133074
vibr,MCAR,20p,2,interpolatelinear,341.6773773125782
lake3,MNAR,5p,1,interpolatepchip,28.40255406544864
boiler,MCAR,20p,2,specsd2all4,309173.0167151685
lake1,MNAR,20p,1,interpolatepolynomial,127.56905983429533
boiler,MNAR,20p,2,interpolatelinear,430.6394285714289
vibr,MCAR,5p,3,interpolatequadratic,120.51374530768717
boiler,MAR,2p,3,imputemedian,9284.040000000005
lake1,MCAR,20p,1,interpolatenearest,93.15650000000011
lake3,MCAR,20p,3,interpolatenearest,176.43379999999968
vibr,MCAR,2p,3,interpolateakima,49.245329771533235
lake2,MAR,5p,1,interpolatepchip,92.19934591806475
lake3,MCAR,5p,1,imputemedian,159.63070000000002
boiler,MNAR,5p,3,imputeffill,219.03999999999814
lake3,MAR,5p,2,imputebfill,62.88749999999996
boiler,MAR,20p,1,interpolatequadratic,559.5922671977736
vibr,MNAR,2p,2,specsd2all4,56.66684094442212
pump,MCAR,5p,2,imputemedian,2374001.5847940953
lake1,MAR,20p,2,imputemedian,1195.3461000000002
lake1,MAR,20p,3,interpolatelinear,95.48890666666671
lake1,MAR,2p,2,interpolateakima,18.495247767335115
lake1,MAR,2p,1,interpolatenearest,5.65220000000005
lake3,MCAR,20p,2,interpolateakima,145.17508867243197
lake2,MCAR,2p,3,imputeffill,25.76739999999984
vibr,MNAR,2p,2,interpolatecubic,58.93344378639242
vibr,MAR,5p,1,interpolateakima,118.91168037727509
lake1,MNAR,5p,3,gafsd2all4,548.7380494389391
pump,MNAR,20p,2,interpolatelinear,391082.1863226652
pump,MNAR,2p,2,gafsd2all4,4369325.681277034
vibr,MAR,5p,3,mtfsd2all4,127.51404874885844
pump,MCAR,5p,1,interpolatepolynomial,112795.82403013259
pump,MNAR,2p,2,interpolateindex,37228.48558166667
lake1,MAR,5p,2,specsd2all4,355.379145533882
vibr,MCAR,2p,1,interpolatepolynomial,59.1271086886353
lake1,MAR,2p,2,mtfsd2all4,147.98369024270625
vibr,MNAR,2p,1,imputemean,34.87805917595951
lake3,MNAR,5p,3,gafunet,396.71798441401404
boiler,MNAR,2p,2,interpolatequadratic,51.182935126835446
vibr,MNAR,2p,3,interpolateakima,26.897146123106346
lake1,MCAR,5p,3,interpolateakima,41.54498866218785
lake2,MCAR,2p,2,gafunet,186.88114593696173
lake2,MAR,5p,1,interpolateakima,93.45926099321616
pump,MCAR,5p,3,imputemean,2549275.5069413185
lake2,MAR,20p,1,interpolatenearest,308.33910000000026
pump,MNAR,5p,2,interpolatelinear,95557.94158833333
boiler,MCAR,5p,1,imputemean,14838.796888182178
boiler,MAR,2p,3,interpolateindex,42.97666666666612
lake1,MCAR,20p,2,interpolateindex,70.39126666666607
pump,MCAR,2p,2,imputemode,968385.60249
vibr,MAR,20p,1,interpolateindex,376.0392921575268
vibr,MCAR,2p,2,interpolatepolynomial,41.648046275102956
vibr,MNAR,5p,3,imputemode,189.186752477945
vibr,MNAR,20p,2,imputemedian,306.8161575527142
lake3,MCAR,20p,3,imputebfill,163.90689999999998
lake1,MCAR,2p,1,interpolateindex,10.487650000000144
pump,MCAR,2p,2,interpolatecubic,47381.261335464995
lake1,MCAR,20p,3,interpolateakima,99.51263030437599
lake1,MNAR,20p,3,interpolatelinear,105.97546666666648
lake1,MCAR,5p,3,interpolatecubic,44.282673803062266
vibr,MCAR,2p,2,interpolatelinear,26.115145305522297
pump,MNAR,5p,1,interpolateindex,96361.64237923501
pump,MAR,5p,3,rpsd2all4,9150366.784701126
vibr,MCAR,5p,1,specsd2all4,102.30782197502069
lake2,MNAR,5p,3,interpolatelinear,51.198949999999854
lake2,MNAR,20p,1,interpolatepolynomial,289.8591237718754
vibr,MNAR,20p,3,gafsd2all4,593.2460951198311
vibr,MAR,5p,2,interpolateakima,82.70003027601943
lake1,MCAR,5p,2,interpolatelinear,22.053133333333562
boiler,MAR,5p,1,imputebfill,218.84000000000242
lake1,MCAR,20p,1,imputeffill,110.84839999999969
vibr,MCAR,5p,3,interpolateakima,87.12930531183156
boiler,MNAR,2p,3,imputebfill,86.55000000000211
lake3,MNAR,20p,3,specsd2all4,1733.9827702431123
boiler,MAR,20p,2,interpolateakima,468.56515825484314
lake2,MAR,5p,2,gafunet,542.9769724776929
pump,MAR,5p,2,interpolateindex,84498.84468619047
lake1,MAR,2p,2,interpolateindex,18.206016666666812
vibr,MAR,20p,2,imputeffill,372.97089197960395
vibr,MCAR,20p,3,mtfsd2all4,408.3781407261958
lake3,MAR,2p,1,imputeffill,21.72649999999993
lake1,MNAR,2p,1,interpolateindex,14.186199999999928
vibr,MCAR,20p,2,interpolatequadratic,389.2479978650637
lake2,MNAR,20p,1,interpolatepchip,247.4760735023765
lake1,MCAR,20p,1,imputebfill,106.5861000000001
boiler,MNAR,20p,3,interpolatequadratic,550.4171615492772
boiler,MCAR,5p,3,gafsd2all4,55853.97163190464
lake3,MCAR,20p,2,specsd2all4,1913.2427020179234
lake3,MNAR,2p,1,interpolatepchip,9.38227663693425
boiler,MAR,20p,3,interpolatenearest,912.4400000000013
lake3,MNAR,20p,1,interpolatecubic,175.20538706258992
pump,MCAR,5p,3,imputeffill,114245.32177600001
pump,MNAR,5p,1,interpolatepchip,98584.28650845122
lake2,MAR,20p,2,interpolatelinear,245.93161666666686
lake1,MNAR,5p,1,imputebfill,22.897199999999827
lake1,MAR,20p,2,mtfsd2all4,1423.0272580046649
vibr,MCAR,2p,3,interpolatelinear,45.61978562063173
lake1,MNAR,20p,3,imputebfill,154.40100000000007
pump,MAR,5p,2,gafunet,9684078.570589488
lake2,MCAR,5p,2,interpolateakima,51.885341140662945
lake1,MCAR,20p,1,interpolatepolynomial,95.25074322476786
lake1,MNAR,2p,3,interpolatequadratic,11.306642750110427
boiler,MAR,20p,3,imputemean,88502.12375622177
lake2,MAR,2p,3,interpolatelinear,37.972000000000435
lake1,MCAR,5p,2,imputebfill,28.604899999999986
lake3,MAR,5p,1,mtfsd2all4,277.04477810157516
lake3,MNAR,20p,1,interpolateakima,136.54494583559563
lake1,MCAR,2p,1,imputemean,89.9188717759763
pump,MCAR,20p,3,interpolatelinear,383204.51190257765
lake2,MNAR,5p,1,specsd2all4,433.8106133966619
lake3,MNAR,5p,3,gafsd2all4,1006.537584938353
lake1,MCAR,20p,1,imputemode,1632.3654000000038
pump,MCAR,5p,1,rpsd2all4,7138657.003036113
boiler,MCAR,5p,2,imputebfill,212.02000000000294
lake3,MNAR,20p,2,interpolatenearest,184.35639999999987
vibr,MAR,2p,1,interpolatepolynomial,25.63687784659439
boiler,MNAR,5p,2,imputemode,14949.399999999987
boiler,MCAR,5p,2,interpolatepchip,117.3563700960517
lake2,MNAR,5p,3,interpolatepolynomial,61.78201130645573
lake1,MNAR,20p,3,imputeffill,134.98129999999964
vibr,MAR,20p,3,interpolatepolynomial,487.3494762688923
lake1,MNAR,5p,2,rpsd2all4,333.38865096020766
pump,MAR,2p,2,imputemode,2359267.0212600003
lake2,MCAR,5p,3,imputemode,239.07379999999932
lake2,MCAR,5p,2,interpolatequadratic,61.97737548947282
pump,MCAR,5p,3,imputebfill,110204.08759282624
pump,MNAR,2p,2,imputemean,900525.74661553
pump,MCAR,2p,2,interpolatelinear,38837.611220628256
lake2,MAR,2p,2,gafunet,233.09883278810912
lake2,MNAR,20p,2,imputemode,880.7324999999986
pump,MCAR,20p,2,gafunet,20573187.47061374
pump,MCAR,2p,3,imputemode,959541.7836900001
lake2,MAR,20p,2,imputemean,1134.6887741877222
lake1,MCAR,2p,2,mtfsd2all4,165.89974733392563
boiler,MAR,2p,1,imputebfill,82.57000000000266
pump,MAR,2p,1,imputemedian,2314190.289225352
lake1,MCAR,2p,2,imputeffill,15.188200000000222
vibr,MCAR,2p,1,imputeffill,53.54102692800015
vibr,MNAR,20p,3,specsd2all4,392.6839220507468
boiler,MAR,5p,3,imputemedian,23086.120000000003
lake1,MAR,5p,3,specsd2all4,451.86643690319204
lake3,MNAR,20p,1,interpolateindex,130.31815999999978
lake1,MNAR,20p,3,imputemean,777.9970826714782
lake1,MAR,5p,3,interpolateakima,23.804754816549178
vibr,MAR,5p,3,rpsd2all4,97.3796027364562
lake3,MAR,20p,3,rpsd2all4,1197.0056728880418
vibr,MCAR,5p,2,imputemode,152.078577954289
lake2,MCAR,2p,2,rpsd2all4,111.9335885280359
vibr,MNAR,20p,1,imputebfill,384.3735839579976
boiler,MAR,2p,2,imputemode,9266.54
lake3,MCAR,5p,2,mtfsd2all4,243.50856285512597
lake3,MAR,20p,1,imputemedian,919.6991999999997
pump,MNAR,20p,1,gafsd2all4,43507269.01224
lake2,MNAR,5p,2,interpolateindex,56.021100000000615
lake3,MCAR,2p,1,imputeffill,13.261699999999962
lake2,MNAR,20p,3,interpolateindex,212.0674700000012
lake1,MAR,20p,2,interpolatepolynomial,109.78406278401945
boiler,MCAR,20p,2,interpolatepolynomial,544.2140579727719
pump,MAR,2p,2,interpolateindex,32921.921333986975
lake2,MNAR,5p,1,imputebfill,59.45950000000005
lake2,MCAR,5p,1,interpolatepchip,43.2243986053262
boiler,MCAR,5p,3,imputeffill,214.6600000000027
lake1,MCAR,5p,2,interpolatepolynomial,27.168144542586845
lake3,MNAR,5p,3,imputemean,154.88391307984764
lake3,MCAR,2p,1,interpolateindex,9.857999999999947
lake1,MAR,5p,1,rpsd2all4,386.20165374376467
lake3,MNAR,20p,2,interpolateakima,174.2376454012275
lake2,MAR,20p,3,imputemedian,1169.2208999999998
lake2,MCAR,2p,2,interpolateindex,29.907950000000028
vibr,MNAR,2p,3,interpolatepolynomial,29.978418572167755
lake2,MNAR,5p,2,interpolatepchip,57.806268273620844
vibr,MNAR,5p,2,interpolatenearest,104.34338684617346
boiler,MNAR,2p,1,interpolatenearest,79.83999999999844
lake1,MCAR,2p,3,interpolatequadratic,10.211637285472534
boiler,MNAR,2p,1,imputemode,6041.319999999995
lake2,MCAR,5p,2,imputeffill,58.75409999999977
lake1,MAR,5p,1,imputeffill,19.92969999999997
boiler,MCAR,20p,2,imputebfill,981.6399999999984
lake3,MCAR,5p,2,specsd2all4,390.02331391570715
boiler,MNAR,5p,3,interpolateindex,107.27333333333638
vibr,MCAR,2p,3,imputebfill,45.00332362589082
lake2,MAR,2p,2,imputemean,110.52384996315425
vibr,MNAR,5p,2,gafunet,133.97117002152712
lake2,MAR,20p,2,rpsd2all4,907.6618265068512
lake2,MNAR,2p,3,specsd2all4,164.46942430738852
boiler,MAR,2p,2,interpolatepchip,47.10894809523006
pump,MCAR,5p,2,rpsd2all4,7164344.515592953
vibr,MNAR,2p,2,gafunet,60.277980193264725
lake1,MAR,20p,3,imputemedian,1193.0620999999996
lake2,MAR,5p,1,imputemode,359.7718999999994
lake2,MNAR,5p,3,interpolatequadratic,61.78201130645573
boiler,MCAR,5p,2,gafsd2all4,55277.487569367884
boiler,MAR,2p,3,gafunet,9851.613765252727
vibr,MAR,2p,2,imputebfill,36.79652654387303
boiler,MNAR,20p,1,interpolatecubic,564.9331434023721
lake3,MNAR,20p,1,mtfsd2all4,1077.376827673104
lake2,MNAR,5p,2,imputeffill,72.05519999999979
lake2,MAR,2p,1,interpolatecubic,27.547658896087114
lake1,MNAR,5p,1,imputemedian,194.40139999999963
lake1,MAR,2p,1,imputemode,122.51860000000016
boiler,MCAR,20p,3,specsd2all4,308775.25157169503
pump,MNAR,5p,3,imputemean,2231921.1540284064
lake2,MNAR,20p,3,imputemode,775.0141999999961
lake1,MNAR,20p,2,gafunet,1177.7246106782359
lake1,MCAR,5p,3,imputemedian,161.06389999999976
lake2,MNAR,20p,2,interpolatepolynomial,287.1189513089922
pump,MNAR,20p,3,imputemean,9081232.679742323
lake2,MNAR,20p,2,interpolatepchip,229.7385658916362
lake2,MCAR,2p,1,specsd2all4,203.96317531095326
lake1,MAR,2p,3,interpolatepchip,9.335411780067261
lake2,MNAR,2p,1,gafunet,207.2387849869648
lake2,MCAR,2p,1,interpolatepolynomial,24.862723649803456
lake3,MCAR,2p,3,gafunet,187.00180802693285
boiler,MCAR,20p,1,interpolatenearest,838.6699999999952
pump,MCAR,2p,2,gafsd2all4,4372677.338076829
lake3,MCAR,2p,2,interpolateindex,14.158399999999972
vibr,MNAR,2p,1,specsd2all4,37.11511124183964
lake1,MCAR,20p,3,interpolatecubic,117.74188175069065
