dataset_name,missingness_type,missing_percentage,iteration_nr,fixing_method,p_value,t_test_result,n_missing_values
boiler,MAR,20p,10,gafsd2all4,0.0,0.0,17278
boiler,MAR,20p,10,gafunet,0.0,0.0,17278
boiler,MAR,20p,10,imputebfill,0.3842008967372804,0.3842008967372804,17278
boiler,MAR,20p,10,imputeffill,0.11281465556929321,0.11281465556929321,17278
boiler,MAR,20p,10,imputemean,3.217152330242513e-29,3.217152330242513e-29,17278
boiler,MAR,20p,10,imputemedian,2.81446162522194e-45,2.81446162522194e-45,17278
boiler,MAR,20p,10,imputemode,0.001185653893100583,0.001185653893100583,17278
boiler,MAR,20p,10,interpolateakima,0.053377639858863526,0.053377639858863526,17278
boiler,MAR,20p,10,interpolatecubic,0.2558238968133978,0.2558238968133978,17278
boiler,MAR,20p,10,interpolateindex,0.300430636461859,0.300430636461859,17278
boiler,MAR,20p,10,interpolatelinear,0.300430636461859,0.300430636461859,17278
boiler,MAR,20p,10,interpolatenearest,0.9401174962314451,0.9401174962314451,17278
boiler,MAR,20p,10,interpolatepchip,0.22452907672558994,0.22452907672558994,17278
boiler,MAR,20p,10,interpolatepolynomial,0.2728800099135895,0.2728800099135895,17278
boiler,MAR,20p,10,interpolatequadratic,0.2728800099135895,0.2728800099135895,17278
boiler,MAR,20p,10,mtfsd2all4,0.0,0.0,17278
boiler,MAR,20p,10,mtfunet,0.0,0.0,17278
boiler,MAR,20p,10,rpsd2all4,0.0,0.0,17278
boiler,MAR,20p,10,rpunet,0.0,0.0,17278
boiler,MAR,20p,10,specsd2all4,0.0,0.0,17278
boiler,MAR,20p,10,specunet,0.0,0.0,17278
boiler,MAR,20p,1,gafsd2all4,0.0,0.0,17278
boiler,MAR,20p,1,gafunet,0.0,0.0,17278
boiler,MAR,20p,1,imputebfill,0.5011032173457379,0.5011032173457379,17278
boiler,MAR,20p,1,imputeffill,0.07827863783417038,0.07827863783417038,17278
boiler,MAR,20p,1,imputemean,4.052091215926739e-35,4.052091215926739e-35,17278
boiler,MAR,20p,1,imputemedian,1.0314605248227304e-52,1.0314605248227304e-52,17278
boiler,MAR,20p,1,imputemode,0.01751780410470119,0.01751780410470119,17278
boiler,MAR,20p,1,interpolateakima,0.14859474415422225,0.14859474415422225,17278
boiler,MAR,20p,1,interpolatecubic,0.2648376316205835,0.2648376316205835,17278
boiler,MAR,20p,1,interpolateindex,0.07819175430402765,0.07819175430402765,17278
boiler,MAR,20p,1,interpolatelinear,0.07819175430402765,0.07819175430402765,17278
boiler,MAR,20p,1,interpolatenearest,0.35859008877885257,0.35859008877885257,17278
boiler,MAR,20p,1,interpolatepchip,0.20366479260930212,0.20366479260930212,17278
boiler,MAR,20p,1,interpolatepolynomial,0.21374896118715958,0.21374896118715958,17278
boiler,MAR,20p,1,interpolatequadratic,0.21374896118715958,0.21374896118715958,17278
boiler,MAR,20p,1,mtfsd2all4,0.0,0.0,17278
boiler,MAR,20p,1,mtfunet,0.0,0.0,17278
boiler,MAR,20p,1,rpsd2all4,0.0,0.0,17278
boiler,MAR,20p,1,rpunet,0.0,0.0,17278
boiler,MAR,20p,1,specsd2all4,0.0,0.0,17278
boiler,MAR,20p,1,specunet,0.0,0.0,17278
boiler,MAR,20p,2,gafsd2all4,0.0,0.0,17278
boiler,MAR,20p,2,gafunet,0.0,0.0,17278
boiler,MAR,20p,2,imputebfill,0.9540486181845673,0.9540486181845673,17278
boiler,MAR,20p,2,imputeffill,0.7730910356052862,0.7730910356052862,17278
boiler,MAR,20p,2,imputemean,2.6164660940228434e-28,2.6164660940228434e-28,17278
boiler,MAR,20p,2,imputemedian,1.9800508051426947e-44,1.9800508051426947e-44,17278
boiler,MAR,20p,2,imputemode,0.0006297035878389387,0.0006297035878389387,17278
boiler,MAR,20p,2,interpolateakima,0.5312200983470197,0.5312200983470197,17278
boiler,MAR,20p,2,interpolatecubic,0.2573469950966772,0.2573469950966772,17278
boiler,MAR,20p,2,interpolateindex,0.6676168713070053,0.6676168713070053,17278
boiler,MAR,20p,2,interpolatelinear,0.6676168713070053,0.6676168713070053,17278
boiler,MAR,20p,2,interpolatenearest,0.8732394961187996,0.8732394961187996,17278
boiler,MAR,20p,2,interpolatepchip,0.7215082390633875,0.7215082390633875,17278
boiler,MAR,20p,2,interpolatepolynomial,0.2903892002598223,0.2903892002598223,17278
boiler,MAR,20p,2,interpolatequadratic,0.2903892002598223,0.2903892002598223,17278
boiler,MAR,20p,2,mtfsd2all4,0.0,0.0,17278
boiler,MAR,20p,2,mtfunet,0.0,0.0,17278
boiler,MAR,20p,2,rpsd2all4,0.0,0.0,17278
boiler,MAR,20p,2,rpunet,0.0,0.0,17278
boiler,MAR,20p,2,specsd2all4,0.0,0.0,17278
boiler,MAR,20p,2,specunet,0.0,0.0,17278
boiler,MAR,20p,3,gafsd2all4,0.0,0.0,17278
boiler,MAR,20p,3,gafunet,0.0,0.0,17278
boiler,MAR,20p,3,imputebfill,0.6955806432505053,0.6955806432505053,17278
boiler,MAR,20p,3,imputeffill,0.6265468244956116,0.6265468244956116,17278
boiler,MAR,20p,3,imputemean,1.3136883113910489e-15,1.3136883113910489e-15,17278
boiler,MAR,20p,3,imputemedian,9.273607207658863e-29,9.273607207658863e-29,17278
boiler,MAR,20p,3,imputemode,3.43619183210887e-09,3.43619183210887e-09,17278
boiler,MAR,20p,3,interpolateakima,0.5423084333239467,0.5423084333239467,17278
boiler,MAR,20p,3,interpolatecubic,0.3271342663754575,0.3271342663754575,17278
boiler,MAR,20p,3,interpolateindex,0.8726040525387743,0.8726040525387743,17278
boiler,MAR,20p,3,interpolatelinear,0.8726040525387743,0.8726040525387743,17278
boiler,MAR,20p,3,interpolatenearest,0.4064244635299251,0.4064244635299251,17278
boiler,MAR,20p,3,interpolatepchip,0.5813560754012606,0.5813560754012606,17278
boiler,MAR,20p,3,interpolatepolynomial,0.40315052884314695,0.40315052884314695,17278
boiler,MAR,20p,3,interpolatequadratic,0.40315052884314695,0.40315052884314695,17278
boiler,MAR,20p,3,mtfsd2all4,0.0,0.0,17278
boiler,MAR,20p,3,mtfunet,0.0,0.0,17278
boiler,MAR,20p,3,rpsd2all4,0.0,0.0,17278
boiler,MAR,20p,3,rpunet,0.0,0.0,17278
boiler,MAR,20p,3,specsd2all4,0.0,0.0,17278
boiler,MAR,20p,3,specunet,0.0,0.0,17278
boiler,MAR,20p,4,gafsd2all4,0.0,0.0,17278
boiler,MAR,20p,4,gafunet,0.0,0.0,17278
boiler,MAR,20p,4,imputebfill,0.3782529232557844,0.3782529232557844,17278
boiler,MAR,20p,4,imputeffill,0.07050842602395213,0.07050842602395213,17278
boiler,MAR,20p,4,imputemean,7.01193147221684e-28,7.01193147221684e-28,17278
boiler,MAR,20p,4,imputemedian,4.712463011367313e-44,4.712463011367313e-44,17278
boiler,MAR,20p,4,imputemode,0.00044513736444471574,0.00044513736444471574,17278
boiler,MAR,20p,4,interpolateakima,0.2741936636033402,0.2741936636033402,17278
boiler,MAR,20p,4,interpolatecubic,0.4228640670975712,0.4228640670975712,17278
boiler,MAR,20p,4,interpolateindex,0.07035737720411928,0.07035737720411928,17278
boiler,MAR,20p,4,interpolatelinear,0.07035737720411928,0.07035737720411928,17278
boiler,MAR,20p,4,interpolatenearest,0.20012393389273725,0.20012393389273725,17278
boiler,MAR,20p,4,interpolatepchip,0.37337399032783836,0.37337399032783836,17278
boiler,MAR,20p,4,interpolatepolynomial,0.48388589357839784,0.48388589357839784,17278
boiler,MAR,20p,4,interpolatequadratic,0.48388589357839784,0.48388589357839784,17278
boiler,MAR,20p,4,mtfsd2all4,0.0,0.0,17278
boiler,MAR,20p,4,mtfunet,0.0,0.0,17278
boiler,MAR,20p,4,rpsd2all4,0.0,0.0,17278
boiler,MAR,20p,4,rpunet,0.0,0.0,17278
boiler,MAR,20p,4,specsd2all4,0.0,0.0,17278
boiler,MAR,20p,4,specunet,0.0,0.0,17278
boiler,MAR,20p,5,gafsd2all4,0.0,0.0,17278
boiler,MAR,20p,5,gafunet,0.0,0.0,17278
boiler,MAR,20p,5,imputebfill,0.8656190500467892,0.8656190500467892,17278
boiler,MAR,20p,5,imputeffill,0.7915781314414515,0.7915781314414515,17278
boiler,MAR,20p,5,imputemean,6.119885158973931e-32,6.119885158973931e-32,17278
boiler,MAR,20p,5,imputemedian,1.4160920349812446e-49,1.4160920349812446e-49,17278
boiler,MAR,20p,5,imputemode,0.004158193795800655,0.004158193795800655,17278
boiler,MAR,20p,5,interpolateakima,0.2005292960222585,0.2005292960222585,17278
boiler,MAR,20p,5,interpolatecubic,0.19091213435241985,0.19091213435241985,17278
boiler,MAR,20p,5,interpolateindex,0.4821199769677377,0.4821199769677377,17278
boiler,MAR,20p,5,interpolatelinear,0.4821199769677377,0.4821199769677377,17278
boiler,MAR,20p,5,interpolatenearest,0.7062607671944879,0.7062607671944879,17278
