dataset,missing_data_type,missing_rate,iteration_nr,best_inpainting_method,best_inpainting_MAPE,best_traditional_method,best_traditional_MAPE,improvement,improvement_pct,inpainting_predictions,traditional_predictions
boiler,MCAR,5,5,rp-unet,0.0077984040013563,interpolate_polynomial,0.0486902369599751,0.0408918329586188,83.98363925037614,"[536.0399169921875, 535.86767578125, 535.8984375, 535.7299194335938, 535.8964233398438, 535.8053588867188, 535.7157592773438, 535.7772216796875, 535.7228393554688, 535.661376953125]","[536.2217407226562, 536.1862182617188, 536.1001586914062, 536.05517578125, 536.0751953125, 536.02783203125, 536.0736083984375, 536.0294799804688, 535.9453735351562, 536.0540771484375]"
boiler,MAR,5,2,spec-unet,0.008621181309293,interpolate_polynomial,0.0475204314306502,0.0388992501213572,81.8579481504193,"[535.9456176757812, 535.9456176757812, 535.8685913085938, 535.7998046875, 535.7998046875, 535.7998046875, 535.7998046875, 535.7302856445312, 535.5299072265625, 535.7302856445312]","[536.217529296875, 536.1719360351562, 536.0912475585938, 536.0512084960938, 536.0648193359375, 536.0253295898438, 536.0565185546875, 536.0323486328125, 535.9448852539062, 536.0503540039062]"
boiler,MNAR,5,9,rp-unet,0.0092926224012619,interpolate_pchip,0.0482881081205462,0.0389954857192843,80.75587807651556,"[536.0255737304688, 535.8494262695312, 535.7644653320312, 535.8316650390625, 535.7898559570312, 535.8316650390625, 535.7545166015625, 535.7545166015625, 535.68359375, 535.5346069335938]","[536.2200317382812, 536.2015380859375, 536.0938110351562, 536.0517578125, 536.0717163085938, 536.0303955078125, 536.050537109375, 536.0184936523438, 535.9423828125, 536.066650390625]"
boiler,MNAR,5,6,rp-unet,0.009302890847107,interpolate_pchip,0.0476149273315515,0.038312036484444506,80.46223869600965,"[535.9465942382812, 535.7842407226562, 535.8296508789062, 535.8296508789062, 535.8296508789062, 535.7617797851562, 535.8043212890625, 535.6353149414062, 535.7155151367188, 535.7155151367188]","[536.2122802734375, 536.1904907226562, 536.0935668945312, 536.0485229492188, 536.0716552734375, 536.0255737304688, 536.04150390625, 536.0335693359375, 535.9226684570312, 536.0714111328125]"
boiler,MNAR,2,4,spec-unet,0.0100376175537721,interpolate_index,0.0477571679552754,0.03771955040150329,78.98196651197506,"[535.975341796875, 535.9215698242188, 535.8515014648438, 535.8201293945312, 535.8029174804688, 535.80615234375, 535.8029174804688, 535.656005859375, 535.8944702148438, 535.6198120117188]","[536.2221069335938, 536.2106323242188, 536.0867309570312, 536.0416870117188, 536.0617065429688, 536.0377807617188, 536.0449829101562, 536.0301513671875, 535.9249267578125, 536.0581665039062]"
boiler,MCAR,2,3,rp-unet,0.0116827738485173,impute_bfill,0.0483563815968822,0.0366736077483649,75.84026458822024,"[536.0347290039062, 535.768798828125, 535.9415283203125, 535.862548828125, 535.9111328125, 535.8294677734375, 535.80908203125, 535.7274780273438, 535.7965087890625, 535.7362060546875]","[536.2197875976562, 536.2044677734375, 536.09033203125, 536.0533447265625, 536.0719604492188, 536.0338134765625, 536.0623779296875, 536.030029296875, 535.9295654296875, 536.0552978515625]"
boiler,MCAR,5,9,rp-unet,0.0128091525604336,impute_ffill,0.0484339061174823,0.0356247535570487,73.55333569552815,"[535.9419555664062, 535.8943481445312, 535.8185424804688, 535.8185424804688, 535.653076171875, 535.8185424804688, 535.6387329101562, 535.6387329101562, 535.6387329101562, 535.6124877929688]","[536.2164916992188, 536.1880493164062, 536.10302734375, 536.0719604492188, 536.06787109375, 536.0321044921875, 536.0630493164062, 536.0152587890625, 535.9307250976562, 536.0665893554688]"
boiler,MNAR,2,1,spec-unet,0.0127356367399651,impute_bfill,0.0481239211846955,0.035388284444730404,73.53574599399992,"[535.8538818359375, 535.8538818359375, 535.8538818359375, 535.721435546875, 535.721435546875, 535.721435546875, 535.721435546875, 535.690185546875, 535.690185546875, 535.690185546875]","[536.2324829101562, 536.1897583007812, 536.099609375, 536.0671997070312, 536.0671997070312, 536.0263671875, 536.0609741210938, 536.017822265625, 535.9127197265625, 536.0643920898438]"
boiler,MCAR,5,6,rp-unet,0.0136733648230371,impute_ffill,0.0480909120678449,0.034417547244807806,71.56767415068525,"[535.6891479492188, 535.8560180664062, 535.861083984375, 535.7332153320312, 535.7462768554688, 535.8568725585938, 535.7708129882812, 535.7022094726562, 535.740966796875, 535.7319946289062]","[536.2169189453125, 536.1969604492188, 536.1063232421875, 536.06005859375, 536.05322265625, 536.041259765625, 536.0545654296875, 536.034423828125, 535.9155883789062, 536.0574340820312]"
boiler,MCAR,5,1,rp-unet,0.0140771565188395,interpolate_pchip,0.047939534497091,0.0338623779782515,70.63560031085886,"[535.9012451171875, 535.9012451171875, 535.8726196289062, 535.6962280273438, 535.8726196289062, 535.6962280273438, 535.6962280273438, 535.7200317382812, 535.5145874023438, 535.7200317382812]","[536.2305908203125, 536.1984252929688, 536.082275390625, 536.0416870117188, 536.06787109375, 536.016845703125, 536.069091796875, 536.0225830078125, 535.9439697265625, 536.0552978515625]"
boiler,MAR,5,9,mtf-unet,0.0135199004138315,impute_mean,0.0457903248917448,0.032270424477913305,70.47432957552809,"[536.12890625, 535.924072265625, 535.924072265625, 535.8898315429688, 535.8622436523438, 535.8638305664062, 535.8622436523438, 535.8362426757812, 535.7291259765625, 535.8638305664062]","[536.2481689453125, 536.03759765625, 536.0280151367188, 536.0280151367188, 536.0280151367188, 535.9940795898438, 536.0280151367188, 535.9830932617188, 536.2347412109375, 536.003662109375]"
boiler,MAR,50,5,mtf-unet,0.0137875442951654,interpolate_nearest,0.0462303809696541,0.032442836674488704,70.1764424043669,"[535.9031982421875, 535.9031982421875, 535.9703369140625, 535.9031982421875, 535.9703369140625, 535.7747802734375, 535.9703369140625, 535.7747802734375, 535.7747802734375, 535.7361450195312]","[536.2391967773438, 536.1949462890625, 536.0995483398438, 536.0595703125, 536.0853881835938, 535.987060546875, 536.068603515625, 535.9689331054688, 535.936279296875, 535.99755859375]"
boiler,MCAR,2,5,spec-unet,0.0142941586295171,interpolate_pchip,0.0473346156051742,0.0330404569756571,69.80189139223813,"[535.9335327148438, 535.898193359375, 536.0234985351562, 535.91455078125, 535.8355102539062, 535.9486694335938, 535.8887939453125, 535.8658447265625, 535.8268432617188, 535.73388671875]","[536.2223510742188, 536.1901245117188, 536.080322265625, 536.0393676757812, 536.072021484375, 536.0294189453125, 536.0604248046875, 536.0294189453125, 535.9247436523438, 536.0480346679688]"
boiler,MNAR,2,3,spec-unet,0.0150856305081941,interpolate_cubic,0.0486947534063496,0.0336091228981555,69.02000841382842,"[535.6927490234375, 535.8465576171875, 535.7902221679688, 535.7686767578125, 535.7686767578125, 535.7686767578125, 535.7454833984375, 535.8449096679688, 535.7628784179688, 535.6383666992188]","[536.235595703125, 536.1895751953125, 536.07763671875, 536.0643310546875, 536.0702514648438, 536.0322875976562, 536.0728759765625, 536.0333862304688, 535.9445190429688, 536.0486450195312]"
boiler,MCAR,2,1,spec-unet,0.0161853657351116,interpolate_cubic,0.0481272836764055,0.031941917941293904,66.36966706050251,"[535.9916381835938, 536.0844116210938, 535.9071655273438, 535.8524780273438, 535.7902221679688, 535.8524780273438, 535.9110717773438, 535.9110717773438, 535.7913208007812, 535.8557739257812]","[536.2262573242188, 536.2057495117188, 536.1080322265625, 536.0611572265625, 536.0689697265625, 536.021240234375, 536.0511474609375, 536.0149536132812, 535.9241333007812, 536.0570678710938]"
boiler,MCAR,2,9,spec-unet,0.0164401397620593,interpolate_pchip,0.0476262637025089,0.0311861239404496,65.48093744084055,"[536.0096435546875, 535.892822265625, 535.9344482421875, 535.7238159179688, 535.7238159179688, 535.7238159179688, 535.8798217773438, 535.8798217773438, 535.8072509765625, 535.7941284179688]","[536.220947265625, 536.1845092773438, 536.0881958007812, 536.0551147460938, 536.0508422851562, 536.03857421875, 536.0557250976562, 536.03857421875, 535.9285278320312, 536.0508422851562]"
boiler,MAR,5,3,mtf-unet,0.016770528668134,interpolate_pchip,0.0483939841860112,0.0316234555178772,65.34584008691373,"[536.1134643554688, 535.894775390625, 535.894775390625, 535.894775390625, 535.894775390625, 535.894775390625, 535.8821411132812, 535.8181762695312, 535.8478393554688, 535.8821411132812]","[536.22265625, 536.1983642578125, 536.0890502929688, 536.0563354492188, 536.0696411132812, 536.0335083007812, 536.0696411132812, 536.03515625, 535.9164428710938, 536.0621948242188]"
boiler,MNAR,5,4,mtf-unet,0.017015876053514,interpolate_index,0.0483734241383742,0.0313575480848602,64.82391652730769,"[535.7815551757812, 536.11328125, 535.5534057617188, 535.8095703125, 535.8265380859375, 535.79931640625, 535.7721557617188, 535.75390625, 535.76953125, 535.6188354492188]","[536.2280883789062, 536.1932983398438, 536.1051025390625, 536.0565185546875, 536.0704956054688, 536.0283203125, 536.064453125, 536.0164184570312, 535.9334716796875, 536.0557250976562]"
boiler,MNAR,5,10,mtf-unet,0.016915395279726,impute_bfill,0.0464379555420752,0.0295225602623492,63.57420329497544,"[535.8707275390625, 535.9996337890625, 535.8670043945312, 535.8872680664062, 535.8189697265625, 535.8670043945312, 535.7020874023438, 535.4017944335938, 535.649658203125, 535.7826538085938]","[536.21630859375, 536.192138671875, 536.0983276367188, 536.0697021484375, 536.0697021484375, 536.0325927734375, 536.0697021484375, 535.9202270507812, 535.9351806640625, 536.0443115234375]"
