missing_type,missing_rate,best_method,best_value,worst_method,worst_value,improvement
MAR,20p,interpolateindex,4023723.447418689,gafsd2all4,547003122.0107827,99.26440576195846
MAR,2p,interpolateindex,340652.3997917162,gafsd2all4,57430098.59190931,99.40683995301427
MAR,50p,interpolatepchip,22506791.62984947,gafsd2all4,1136571257.2608998,98.01976413831808
MAR,5p,interpolateindex,855387.7795529099,gafsd2all4,142806511.30224165,99.40101626196684
MCAR,20p,interpolatelinear,3868974.4538286324,gafsd2all4,438264900.96001446,99.11720640978695
MCAR,2p,interpolateindex,379208.14233944565,gafsd2all4,43805906.152164206,99.13434471365065
MCAR,50p,interpolateindex,10275798.281363051,gafsd2all4,1095652830.6675484,99.06213008411594
MCAR,5p,interpolateindex,948716.0573964572,gafsd2all4,109638922.67203793,99.13469046003458
MNAR,20p,interpolateindex,3939431.5310784136,gafsd2all4,437564744.9817169,99.09969174247733
MNAR,2p,interpolateindex,380148.8397356211,gafsd2all4,43801001.35066218,99.13210011640551
MNAR,50p,interpolateindex,10921324.315236973,gafsd2all4,1092444486.508273,99.00028564836788
MNAR,5p,interpolateindex,962444.5952576776,gafsd2all4,109364111.30663805,99.11996304476963
