Dataset,Missingness_Type,Missingness_Rate,Fixing_Method,Sum_of_Absolute_Differences
boiler,MAR,20p,interpolateindex,4438.450009046661
boiler,MAR,20p,interpolatelinear,4438.450009046661
boiler,MAR,20p,interpolateakima,4689.995694347998
boiler,MAR,20p,interpolatepchip,4870.791935124538
boiler,MAR,20p,interpolatepolynomial,5608.980592470746
boiler,MAR,20p,interpolatequadratic,5608.980592470746
boiler,MAR,20p,interpolatecubic,5791.471545993278
boiler,MAR,20p,interpolatenearest,9222.249999999993
boiler,MAR,20p,imputebfill,11683.120000000008
boiler,MAR,20p,imputeffill,11749.139999999983
boiler,MAR,20p,imputemode,883876.75
boiler,MAR,20p,imputemean,887466.7358204075
boiler,MAR,20p,imputemedian,888324.77
boiler,MAR,20p,gafunet,995313.9014481504
boiler,MAR,20p,rpsd2all4,1573958.9567993034
boiler,MAR,20p,rpunet,1764652.0443713875
boiler,MAR,20p,mtfunet,1770335.121637
boiler,MAR,20p,mtfsd2all4,2065850.5347829626
boiler,MAR,20p,gafsd2all4,2284314.2914156686
boiler,MAR,20p,specunet,2610102.875135661
boiler,MAR,20p,specsd2all4,2962041.8585246876
boiler,MAR,2p,interpolateindex,429.4566666666775
boiler,MAR,2p,interpolatelinear,429.4566666666775
boiler,MAR,2p,interpolateakima,454.3940616342867
boiler,MAR,2p,interpolatepchip,468.187971381528
boiler,MAR,2p,interpolatepolynomial,527.0485955935201
boiler,MAR,2p,interpolatequadratic,527.0485955935201
boiler,MAR,2p,interpolatecubic,546.1656391192214
boiler,MAR,2p,interpolatenearest,839.2799999999904
boiler,MAR,2p,imputebfill,862.6800000000086
boiler,MAR,2p,imputeffill,863.4399999999879
boiler,MAR,2p,imputemode,92189.01000000001
boiler,MAR,2p,imputemean,92717.94485123374
boiler,MAR,2p,imputemedian,92911.73000000003
boiler,MAR,2p,gafunet,100729.78997477495
boiler,MAR,2p,rpsd2all4,159337.68767580471
boiler,MAR,2p,rpunet,172558.77827589022
boiler,MAR,2p,mtfunet,176838.67755593726
boiler,MAR,2p,mtfsd2all4,196564.04301850285
boiler,MAR,2p,gafsd2all4,232441.5679225019
boiler,MAR,2p,specunet,277000.5412505973
boiler,MAR,2p,specsd2all4,295900.50325702946
boiler,MAR,50p,interpolateakima,16042.993945373597
boiler,MAR,50p,interpolatepolynomial,18575.46028301753
boiler,MAR,50p,interpolatequadratic,18575.46028301753
boiler,MAR,50p,interpolatecubic,19158.57031598741
boiler,MAR,50p,interpolatepchip,19726.37410192044
boiler,MAR,50p,interpolateindex,21592.57130708714
boiler,MAR,50p,interpolatelinear,21592.57130708714
boiler,MAR,50p,interpolatenearest,47454.86999999995
boiler,MAR,50p,imputebfill,75933.43999999997
boiler,MAR,50p,imputeffill,76324.52999999987
boiler,MAR,50p,imputemode,2024283.89
boiler,MAR,50p,imputemean,2029148.1803518925
boiler,MAR,50p,imputemedian,2029407.74
boiler,MAR,50p,gafunet,2559855.0264824075
boiler,MAR,50p,mtfsd2all4,2590247.647686048
boiler,MAR,50p,rpsd2all4,2615185.655374313
boiler,MAR,50p,mtfunet,2858774.1441370943
boiler,MAR,50p,rpunet,2985384.1925841747
boiler,MAR,50p,specunet,3857540.2071271315
boiler,MAR,50p,specsd2all4,5110715.807590531
boiler,MAR,50p,gafsd2all4,5574550.4199999925
boiler,MAR,5p,interpolateindex,1071.0971666667042
boiler,MAR,5p,interpolatelinear,1071.0971666667042
boiler,MAR,5p,interpolateakima,1136.1393412450855
boiler,MAR,5p,interpolatepchip,1170.7229537384637
boiler,MAR,5p,interpolatepolynomial,1328.2663285124013
boiler,MAR,5p,interpolatequadratic,1328.2663285124013
boiler,MAR,5p,interpolatecubic,1376.873271338464
boiler,MAR,5p,interpolatenearest,2098.6899999999973
boiler,MAR,5p,imputebfill,2235.940000000004
boiler,MAR,5p,imputeffill,2236.8399999999956
boiler,MAR,5p,imputemode,228898.56
boiler,MAR,5p,imputemean,230033.05503478696
boiler,MAR,5p,imputemedian,230428.87000000002
boiler,MAR,5p,gafunet,249221.36180780522
boiler,MAR,5p,rpsd2all4,395650.12664630346
boiler,MAR,5p,rpunet,415406.4788635811
boiler,MAR,5p,mtfunet,443614.33049523755
boiler,MAR,5p,mtfsd2all4,497383.02394411847
boiler,MAR,5p,gafsd2all4,577696.0600502761
boiler,MAR,5p,specunet,697229.75903331
boiler,MAR,5p,specsd2all4,745310.1918124254
boiler,MCAR,20p,interpolateindex,4307.565190476335
boiler,MCAR,20p,interpolatelinear,4307.565190476335
boiler,MCAR,20p,interpolateakima,4587.677386212545
boiler,MCAR,20p,interpolatepchip,4740.7023334262285
boiler,MCAR,20p,interpolatepolynomial,5433.893859154398
boiler,MCAR,20p,interpolatequadratic,5433.893859154398
boiler,MCAR,20p,interpolatecubic,5612.9510487237885
boiler,MCAR,20p,interpolatenearest,8386.24999999999
boiler,MCAR,20p,imputeffill,9816.889999999987
boiler,MCAR,20p,imputebfill,9820.230000000018
boiler,MCAR,20p,imputemedian,600653.9799999999
boiler,MCAR,20p,imputemean,601065.9145505846
boiler,MCAR,20p,imputemode,607931.1599999996
boiler,MCAR,20p,gafunet,750260.736621201
boiler,MCAR,20p,rpsd2all4,1581000.7147039925
boiler,MCAR,20p,rpunet,1695240.2672677266
boiler,MCAR,20p,mtfunet,1851923.243824196
boiler,MCAR,20p,mtfsd2all4,2075366.8152012038
boiler,MCAR,20p,gafsd2all4,2226253.089010692
boiler,MCAR,20p,specunet,2756842.640963813
boiler,MCAR,20p,specsd2all4,3072463.8903892976
boiler,MCAR,2p,interpolateindex,424.94333333334544
boiler,MCAR,2p,interpolatelinear,424.94333333334544
boiler,MCAR,2p,interpolateakima,449.0739873096096
boiler,MCAR,2p,interpolatepchip,461.32533587616706
boiler,MCAR,2p,interpolatepolynomial,520.808100585676
boiler,MCAR,2p,interpolatequadratic,520.808100585676
boiler,MCAR,2p,interpolatecubic,540.0661789153586
boiler,MCAR,2p,interpolatenearest,806.5400000000014
boiler,MCAR,2p,imputebfill,816.7900000000002
boiler,MCAR,2p,imputeffill,820.4200000000016
boiler,MCAR,2p,imputemedian,60460.54
boiler,MCAR,2p,imputemean,60480.18949127717
boiler,MCAR,2p,imputemode,61124.70999999996
boiler,MCAR,2p,gafunet,66516.55117813831
