fixing_method,rank,total_difference,mean_difference,median_difference,std_difference,min_difference,max_difference,count
interpolatelinear,1,60218715.836,83637.1053,215.5656,326436.9821,3.8693,2543966.7503,720
interpolateindex,2,60218715.836,83637.1053,215.5656,326436.9821,3.8693,2543966.7503,720
interpolatepchip,3,60254206.5705,83686.398,217.6304,321016.9668,3.9646,2440155.3768,720
interpolateakima,4,62075013.0605,86215.2959,217.2913,333341.4137,4.1389,2582882.1591,720
interpolatenearest,5,67667785.2666,93983.0351,249.6868,356805.8602,5.5313,2710860.8682,720
imputebfill,6,73642217.9512,102280.8583,255.9155,393737.0693,6.1754,3124499.0077,720
imputeffill,7,74560279.4347,103555.9437,258.5908,402699.3989,5.7059,3148481.3697,720
interpolatequadratic,8,96749686.307,134374.5643,254.2392,642411.5513,4.2427,7613409.5883,720
interpolatepolynomial,9,96749686.307,134374.5643,254.2392,642411.5513,4.2427,7613409.5883,720
interpolatecubic,10,103818286.9253,144192.0652,262.9983,704598.8404,4.7293,8130769.6639,720
imputemedian,11,1374032945.1707,1908379.0905,927.6406,6329068.0081,17.0778,38431907.1856,720
imputemean,12,1392768600.4987,1934400.834,925.5078,6383607.0723,16.0717,37610393.2088,720
specsd2all4,13,1652699726.8239,2295416.2873,2010.9512,7736587.2563,16.9004,51282507.2304,720
specunet,14,1787420687.6243,2482528.7328,1800.7368,8236912.0504,14.4208,44964377.9035,720
imputemode,15,1877772662.7519,2608017.5872,1514.3879,9543554.3493,34.4259,109026870.5026,720
mtfsd2all4,16,1900328264.1029,2639344.8113,1393.4923,8270286.5299,23.8593,50356334.4333,720
mtfunet,17,2002967420.1431,2781899.1946,1427.7533,8838532.6841,13.7324,53626631.159,720
rpunet,18,2255216393.5,3132244.991,1267.0733,9295314.0845,12.9602,49568408.5461,720
rpsd2all4,19,2500579589.812,3473027.2081,1189.0398,10235789.7904,13.0741,51025320.0068,720
gafunet,20,2607039140.9604,3620887.6958,1631.1333,11622863.263,15.306,64924167.139,720
gafsd2all4,21,5254347893.7649,7297705.408,3433.8128,23566972.6115,20.1588,121903696.0664,720
