dataset_name,fixing_method,total_difference,mean_difference,count
boiler,interpolateakima,59091.1591,492.4263,120
boiler,interpolateindex,62115.5428,517.6295,120
boiler,interpolatelinear,62115.5428,517.6295,120
boiler,interpolatepchip,64618.6672,538.4889,120
boiler,interpolatepolynomial,70961.4094,591.3451,120
boiler,interpolatequadratic,70961.4094,591.3451,120
boiler,interpolatecubic,73314.7466,610.9562,120
boiler,interpolatenearest,138907.05,1157.5587,120
boiler,imputebfill,201365.89,1678.0491,120
boiler,imputeffill,201985.14,1683.2095,120
boiler,imputemedian,7850586.83,65421.5569,120
boiler,imputemean,7855879.0943,65465.6591,120
boiler,imputemode,7937963.1,66149.6925,120
boiler,gafunet,9895274.9423,82460.6245,120
boiler,rpsd2all4,15065721.9977,125547.6833,120
boiler,mtfsd2all4,16594969.546,138291.4129,120
boiler,rpunet,16985437.822,141545.3152,120
boiler,mtfunet,17888303.5377,149069.1961,120
boiler,specunet,25465003.5817,212208.3632,120
boiler,gafsd2all4,25771406.7053,214761.7225,120
boiler,specsd2all4,31000266.2255,258335.5519,120
lake1,interpolatepchip,14125.072,117.7089,120
lake1,interpolateakima,14214.5518,118.4546,120
lake1,interpolateindex,14334.5447,119.4545,120
lake1,interpolatelinear,14334.5447,119.4545,120
lake1,interpolatenearest,17268.8919,143.9074,120
lake1,interpolatepolynomial,18170.2554,151.4188,120
lake1,interpolatequadratic,18170.2554,151.4188,120
lake1,interpolatecubic,19246.8104,160.3901,120
lake1,imputebfill,20369.0546,169.7421,120
lake1,imputeffill,21515.9738,179.2998,120
lake1,imputemean,102617.5583,855.1463,120
lake1,imputemedian,104061.852,867.1821,120
lake1,gafunet,115273.9154,960.616,120
lake1,rpsd2all4,124498.4193,1037.4868,120
lake1,rpunet,126596.5358,1054.9711,120
lake1,mtfunet,138394.7322,1153.2894,120
lake1,mtfsd2all4,140786.3972,1173.22,120
lake1,imputemode,154190.2384,1284.9187,120
lake1,specunet,174395.3841,1453.2949,120
lake1,specsd2all4,218901.4626,1824.1789,120
lake1,gafsd2all4,243110.6667,2025.9222,120
lake2,interpolateindex,30215.3745,251.7948,120
lake2,interpolatelinear,30215.3745,251.7948,120
lake2,interpolateakima,31610.3789,263.4198,120
