missing_rate,fixing_method,total_difference,mean_difference,count
20p,interpolateindex,11832129.4323,65734.0524,180
20p,interpolatelinear,11832129.4323,65734.0524,180
20p,interpolatepchip,12048743.6305,66937.4646,180
20p,interpolateakima,12291665.7532,68287.032,180
20p,interpolatenearest,13800671.4082,76670.3967,180
20p,imputeffill,14483357.9034,80463.0995,180
20p,imputebfill,14545386.5854,80807.7033,180
20p,interpolatepolynomial,14570470.1327,80947.0563,180
20p,interpolatequadratic,14570470.1327,80947.0563,180
20p,interpolatecubic,15072720.0053,83737.3334,180
20p,imputemean,384930008.0502,2138500.0447,180
20p,imputemedian,388013445.0964,2155630.2505,180
20p,specsd2all4,396200975.6107,2201116.5312,180
20p,specunet,472112859.4266,2622849.219,180
20p,mtfsd2all4,549766647.8318,3054259.1546,180
20p,mtfunet,554277302.0818,3079318.3449,180
20p,imputemode,670282596.4426,3723792.2025,180
20p,rpunet,679802348.7088,3776679.715,180
20p,gafunet,748579550.7858,4158775.2821,180
20p,rpsd2all4,854198046.6831,4745544.7038,180
20p,gafsd2all4,1422832767.9525,7904626.4886,180
2p,interpolateindex,1100009.3819,6111.1632,180
2p,interpolatelinear,1100009.3819,6111.1632,180
2p,interpolatepchip,1121336.8139,6229.649,180
2p,interpolateakima,1141883.942,6343.7997,180
2p,interpolatepolynomial,1305610.515,7253.3917,180
2p,interpolatequadratic,1305610.515,7253.3917,180
2p,imputebfill,1311845.9062,7288.0328,180
2p,interpolatenearest,1322489.1832,7347.1621,180
2p,imputeffill,1332290.4654,7401.6137,180
2p,interpolatecubic,1353234.7316,7517.9707,180
2p,imputemean,39515045.643,219528.0314,180
2p,specunet,39842091.2995,221344.9517,180
2p,specsd2all4,40688154.9147,226045.3051,180
2p,imputemedian,40814337.884,226746.3216,180
2p,imputemode,45625130.3098,253472.9462,180
2p,mtfunet,63312123.221,351734.0179,180
2p,mtfsd2all4,63340988.9489,351894.383,180
2p,gafunet,73385349.602,407696.3867,180
2p,rpsd2all4,93220220.7588,517890.1153,180
2p,rpunet,95389043.0123,529939.1278,180
2p,gafsd2all4,145037006.0947,805761.145,180
50p,interpolatepchip,44263465.6619,245908.1426,180
50p,interpolateindex,44520028.5896,247333.4922,180
50p,interpolatelinear,44520028.5896,247333.4922,180
50p,interpolateakima,45769808.0593,254276.7114,180
50p,interpolatenearest,49238751.3962,273548.6189,180
50p,imputebfill,54441352.1182,302451.9562,180
50p,imputeffill,55397279.0827,307762.6616,180
50p,interpolatepolynomial,77559974.7609,430888.7487,180
50p,interpolatequadratic,77559974.7609,430888.7487,180
50p,interpolatecubic,83959090.2942,466439.3905,180
50p,imputemedian,843707150.5732,4687261.9476,180
50p,imputemean,869892069.9802,4832733.7221,180
50p,imputemode,1038916744.9196,5771759.694,180
50p,specsd2all4,1115132934.0373,6195182.9669,180
50p,mtfsd2all4,1130663346.5532,6281463.0364,180
50p,specunet,1173359374.9633,6518663.1942,180
50p,mtfunet,1228852524.1367,6826958.4674,180
50p,rpunet,1250881132.8736,6949339.6271,180
50p,rpsd2all4,1321088906.035,7339382.8113,180
50p,gafunet,1600540615.895,8891892.3105,180
50p,gafsd2all4,3324668574.4367,18470380.9691,180
5p,interpolateindex,2766548.4322,15369.7135,180
5p,interpolatelinear,2766548.4322,15369.7135,180
5p,interpolatepchip,2820660.4642,15670.3359,180
5p,interpolateakima,2871655.3059,15953.6406,180
5p,interpolatenearest,3305873.279,18365.9627,180
5p,interpolatepolynomial,3313630.8986,18409.0605,180
5p,interpolatequadratic,3313630.8986,18409.0605,180
5p,imputebfill,3343633.3414,18575.7408,180
5p,imputeffill,3347351.9832,18596.3999,180
5p,interpolatecubic,3433241.8942,19073.5661,180
5p,imputemean,98431476.8253,546841.5379,180
5p,specsd2all4,100677662.2612,559320.3459,180
5p,imputemedian,101498011.6172,563877.8423,180
5p,specunet,102106361.9349,567257.5663,180
5p,imputemode,122948191.0799,683045.506,180
5p,mtfunet,156525470.7036,869585.9484,180
5p,mtfsd2all4,156557280.769,869762.6709,180
5p,gafunet,184533624.6777,1025186.8038,180
5p,rpunet,229143868.9053,1273021.4939,180
5p,rpsd2all4,232072416.3351,1289291.2019,180
5p,gafsd2all4,361809545.2809,2010053.0293,180
