dataset,missing_data_type,missing_rate,iteration_nr,fixing_method,prediction_method,MAPE,MAE,RMSE,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,val_9,val_10
boiler,MAR,2,1,gafsd2all4,XGBoost,0.1107623452577955,0.5934787597656168,0.6884343504801125,536.3966674804688,536.3548583984375,536.6901245117188,536.1442260742188,536.9837646484375,536.0516357421875,537.0029907226562,535.9609375,536.3975219726562,536.112060546875
boiler,MAR,2,1,impute_bfill,XGBoost,0.0489179212331195,0.2621066894531168,0.268124748837854,536.2420043945312,536.18798828125,536.10302734375,536.0662841796875,536.0662841796875,536.0269775390625,536.0696411132812,536.02783203125,535.9222412109375,536.0687866210938
boiler,MAR,2,1,impute_ffill,XGBoost,0.0486650941725018,0.2607517089843668,0.266204127542957,536.2338256835938,536.184814453125,536.0965576171875,536.0689086914062,536.0689086914062,536.02685546875,536.07080078125,536.0252685546875,535.9326782226562,536.0588989257812
boiler,MAR,2,1,impute_mean,XGBoost,0.0513089418274282,0.2749118652343668,0.296009101438383,536.2473754882812,536.21826171875,536.0301513671875,536.0336303710938,536.0530395507812,536.0348510742188,536.0336303710938,536.0348510742188,535.9871826171875,536.2361450195312
boiler,MAR,2,1,impute_median,XGBoost,0.0529584176410336,0.2837558593749918,0.2898692981637017,536.24609375,536.2225952148438,536.0885009765625,536.0855712890625,536.0855712890625,536.0855712890625,536.0855712890625,536.0855712890625,535.9269409179688,536.0855712890625
boiler,MAR,2,1,impute_mode,XGBoost,0.0480364856603008,0.2573825683593668,0.2688247478520147,536.24169921875,536.1249389648438,536.1249389648438,536.0985717773438,536.0985717773438,535.9462890625,536.1324462890625,535.9462890625,535.95703125,536.0630493164062
boiler,MAR,2,1,interpolate_akima,XGBoost,0.0488096990845329,0.2615268554687418,0.267304394420931,536.236328125,536.1889038085938,536.0957641601562,536.0694580078125,536.0728759765625,536.0277709960938,536.0777587890625,536.0277709960938,535.9188842773438,536.0597534179688
boiler,MAR,2,1,interpolate_cubic,XGBoost,0.0488587292216549,0.2617893066406168,0.2677866151545738,536.2349243164062,536.1968383789062,536.0910034179688,536.0673217773438,536.069091796875,536.03759765625,536.0609741210938,536.0214233398438,535.9276123046875,536.0711059570312
boiler,MAR,2,1,interpolate_index,XGBoost,0.0491480548967772,0.2633395996093668,0.2680155142692269,536.2349853515625,536.181396484375,536.0975341796875,536.084228515625,536.07373046875,536.0325927734375,536.0665283203125,536.0330810546875,535.9374389648438,536.0518798828125
boiler,MAR,2,1,interpolate_linear,XGBoost,0.0491480548967772,0.2633395996093668,0.2680155142692269,536.2349853515625,536.181396484375,536.0975341796875,536.084228515625,536.07373046875,536.0325927734375,536.0665283203125,536.0330810546875,535.9374389648438,536.0518798828125
boiler,MAR,2,1,interpolate_nearest,XGBoost,0.0485568148903859,0.2601718749999918,0.2661013868224946,536.2379150390625,536.1940307617188,536.0951538085938,536.06982421875,536.06982421875,536.0215454101562,536.0612182617188,536.02197265625,535.9262084960938,536.0640258789062
