dataset,missing_data_type,missing_rate,iteration_nr,fixing_method,prediction_method,MAPE,MAE,RMSE
boiler,MAR,2,1,gaf-unet,XGBoost,0.048526952875051974,0.2600131835937418,0.27002572328941515
boiler,MAR,2,1,gafsd2all4,XGBoost,0.11076234525779556,0.5934787597656168,0.6884343504801125
boiler,MAR,2,1,impute_bfill,XGBoost,0.0489179212331195,0.2621066894531168,0.268124748837854
boiler,MAR,2,1,impute_ffill,XGBoost,0.04866509417250181,0.26075170898436684,0.266204127542957
boiler,MAR,2,1,impute_mean,XGBoost,0.05130894182742827,0.27491186523436684,0.29600910143838305
boiler,MAR,2,1,impute_median,XGBoost,0.0529584176410336,0.2837558593749918,0.28986929816370177
boiler,MAR,2,1,impute_mode,XGBoost,0.04803648566030083,0.2573825683593668,0.2688247478520147
boiler,MAR,2,1,interpolate_akima,XGBoost,0.04880969908453299,0.2615268554687418,0.26730439442093107
boiler,MAR,2,1,interpolate_cubic,XGBoost,0.04885872922165496,0.26178930664061684,0.26778661515457386
boiler,MAR,2,1,interpolate_index,XGBoost,0.049148054896777225,0.2633395996093668,0.26801551426922693
boiler,MAR,2,1,interpolate_linear,XGBoost,0.049148054896777225,0.2633395996093668,0.26801551426922693
boiler,MAR,2,1,interpolate_nearest,XGBoost,0.04855681489038595,0.26017187499999184,0.2661013868224946
boiler,MAR,2,1,interpolate_pchip,XGBoost,0.04828571831030616,0.2587192382812418,0.2642621091393215
boiler,MAR,2,1,interpolate_polynomial,XGBoost,0.049136701765656404,0.2632785644531168,0.2685421574613708
boiler,MAR,2,1,interpolate_quadratic,XGBoost,0.049136701765656404,0.2632785644531168,0.2685421574613708
boiler,MAR,2,1,mtf-unet,XGBoost,0.03645941748446362,0.1953525390624918,0.20262031164457672
boiler,MAR,2,1,mtfsd2all4,XGBoost,0.028612635229012123,0.1533054199218668,0.174410970124345
boiler,MAR,2,1,original,XGBoost,0.04859119866884098,0.26035498046874184,0.26611943001738725
boiler,MAR,2,1,rp-unet,XGBoost,0.03262853553572857,0.17482641601561683,0.1922073650095533
boiler,MAR,2,1,rpsd2all4,XGBoost,0.03307530035173022,0.17721899414061681,0.18653523352106785
boiler,MAR,2,1,spec-unet,XGBoost,0.040194168888865844,0.215362548828125,0.2821914612427743
boiler,MAR,2,1,specsd2all4,XGBoost,0.022626738841271688,0.121234130859375,0.13918103918960656
boiler,MAR,2,2,gaf-unet,XGBoost,0.05010246001426333,0.2684543457031168,0.2782255765012463
boiler,MAR,2,2,gafsd2all4,XGBoost,0.06199096838438701,0.3321506347656168,0.3489578329675724
boiler,MAR,2,2,impute_bfill,XGBoost,0.04960385775072166,0.2657810058593668,0.2721939971216238
boiler,MAR,2,2,impute_ffill,XGBoost,0.0485022109809121,0.2598789062499918,0.264412556746952
boiler,MAR,2,2,impute_mean,XGBoost,0.04756987013701913,0.2548801269531168,0.2728911051239482
boiler,MAR,2,2,impute_median,XGBoost,0.04824965522236007,0.25852392578124184,0.27166072120527784
boiler,MAR,2,2,impute_mode,XGBoost,0.05051938198712625,0.2706882324218668,0.2763915764874549
boiler,MAR,2,2,interpolate_akima,XGBoost,0.04796582821626319,0.2570041503906168,0.26183837547458655
boiler,MAR,2,2,interpolate_cubic,XGBoost,0.0487506034568128,0.26120947265624184,0.2669799886398824
boiler,MAR,2,2,interpolate_index,XGBoost,0.04902620784172863,0.2626865234374918,0.26779632968002004
boiler,MAR,2,2,interpolate_linear,XGBoost,0.04902620784172863,0.2626865234374918,0.26779632968002004
boiler,MAR,2,2,interpolate_nearest,XGBoost,0.048257365463993375,0.2585666503906168,0.2643865865564967
boiler,MAR,2,2,interpolate_pchip,XGBoost,0.04898983468555626,0.26249121093749184,0.26777808807363074
boiler,MAR,2,2,interpolate_polynomial,XGBoost,0.0486639033018328,0.2607456054687418,0.2668054791762341
boiler,MAR,2,2,interpolate_quadratic,XGBoost,0.0486639033018328,0.2607456054687418,0.2668054791762341
boiler,MAR,2,2,mtf-unet,XGBoost,0.02851872580847534,0.15280493164061681,0.167344474354582
boiler,MAR,2,2,mtfsd2all4,XGBoost,0.03383731372342904,0.18130224609374182,0.18922947354725494
boiler,MAR,2,2,original,XGBoost,0.04859119866884098,0.26035498046874184,0.26611943001738725
boiler,MAR,2,2,rp-unet,XGBoost,0.03738254250100543,0.20029394531250092,0.23481720612567708
boiler,MAR,2,2,rpsd2all4,XGBoost,0.040407222553888573,0.2165012207031168,0.23350538189201886
boiler,MAR,2,2,spec-unet,XGBoost,0.019184103724366457,0.10278662109374181,0.10963311887795853
boiler,MAR,2,2,specsd2all4,XGBoost,0.019845737840430998,0.10633276367186681,0.11149325293335693
boiler,MAR,2,3,gaf-unet,XGBoost,0.04790910599167943,0.2567050781249918,0.2643652955431668
boiler,MAR,2,3,gafsd2all4,XGBoost,0.08578316270567439,0.4596225585937418,0.5244128248146759
boiler,MAR,2,3,impute_bfill,XGBoost,0.04876416367520599,0.2612827148437418,0.26712456639066356
boiler,MAR,2,3,impute_ffill,XGBoost,0.04860815998239354,0.26044653320311684,0.2661858564275889
boiler,MAR,2,3,impute_mean,XGBoost,0.050052341556505675,0.2681857910156168,0.2728368615604823
boiler,MAR,2,3,impute_median,XGBoost,0.047563042713125836,0.2548496093749918,0.2622625477814499
