dataset,missing_data_type,missing_rate,iteration_nr,fixing_method,prediction_method,MAPE,MAE,RMSE
boiler,MAR,2,1,gaf-unet,HoltWinters,0.013304841813600745,0.07128619108045768,0.07537627903900183
boiler,MAR,2,1,gaf-unet,XGBoost,0.04939264018918062,0.2646518554687418,0.2762879288535639
boiler,MAR,2,1,impute_bfill,HoltWinters,0.011665093100751743,0.062497194436582505,0.07431398219216043
boiler,MAR,2,1,impute_bfill,XGBoost,0.0489179212331195,0.2621066894531168,0.268124748837854
boiler,MAR,2,1,impute_ffill,HoltWinters,0.011685147267864461,0.06260464557570913,0.07441328704265096
boiler,MAR,2,1,impute_ffill,XGBoost,0.04866509417250181,0.26075170898436684,0.266204127542957
boiler,MAR,2,1,impute_mean,HoltWinters,0.006524555395413945,0.03495758922363166,0.03998712409888354
boiler,MAR,2,1,impute_mean,XGBoost,0.05130894182742827,0.27491186523436684,0.29600910143838305
boiler,MAR,2,1,impute_median,HoltWinters,0.006072627782927974,0.032536160824520266,0.03749495633167263
boiler,MAR,2,1,impute_median,XGBoost,0.0529584176410336,0.2837558593749918,0.28986929816370177
boiler,MAR,2,1,impute_mode,HoltWinters,0.00815176477879764,0.0436762303990804,0.04813588584372572
boiler,MAR,2,1,impute_mode,XGBoost,0.04803648566030083,0.2573825683593668,0.2688247478520147
boiler,MAR,2,1,interpolate_akima,HoltWinters,0.0122172985408216,0.06545582302210277,0.07735756887657078
boiler,MAR,2,1,interpolate_akima,XGBoost,0.04880969908453299,0.2615268554687418,0.26730439442093107
boiler,MAR,2,1,interpolate_cubic,HoltWinters,0.012139657971783811,0.06503985183568375,0.07688315358093599
boiler,MAR,2,1,interpolate_cubic,XGBoost,0.04885872922165496,0.26178930664061684,0.26778661515457386
boiler,MAR,2,1,interpolate_index,HoltWinters,0.012235265742360914,0.06555207943894174,0.07748402947105108
boiler,MAR,2,1,interpolate_index,XGBoost,0.049148054896777225,0.2633395996093668,0.26801551426922693
boiler,MAR,2,1,interpolate_linear,HoltWinters,0.012235265742360914,0.06555207943894174,0.07748402947105108
boiler,MAR,2,1,interpolate_linear,XGBoost,0.049148054896777225,0.2633395996093668,0.26801551426922693
boiler,MAR,2,1,interpolate_nearest,HoltWinters,0.011682797510843636,0.06259205587282395,0.07440076310130633
boiler,MAR,2,1,interpolate_nearest,XGBoost,0.04855681489038595,0.26017187499999184,0.2661013868224946
boiler,MAR,2,1,interpolate_pchip,HoltWinters,0.012202027856811909,0.06537400850234007,0.0772624606321243
boiler,MAR,2,1,interpolate_pchip,XGBoost,0.04828571831030616,0.2587192382812418,0.2642621091393215
boiler,MAR,2,1,interpolate_polynomial,HoltWinters,0.012157653517920638,0.06513626752472419,0.07698759711380333
boiler,MAR,2,1,interpolate_polynomial,XGBoost,0.049136701765656404,0.2632785644531168,0.2685421574613708
boiler,MAR,2,1,interpolate_quadratic,HoltWinters,0.012157653517920638,0.06513626752472419,0.07698759711380333
boiler,MAR,2,1,interpolate_quadratic,XGBoost,0.049136701765656404,0.2632785644531168,0.2685421574613708
boiler,MAR,2,1,mtf-unet,HoltWinters,0.02208772623896981,0.11834400384299215,0.12435532298067722
boiler,MAR,2,1,mtf-unet,XGBoost,0.035415002799710806,0.18975561523436682,0.19649354855639792
boiler,MAR,2,1,original,HoltWinters,0.012091092726891425,0.06477962339364467,0.07668835572590069
boiler,MAR,2,1,original,XGBoost,0.04859119866884098,0.26035498046874184,0.26611943001738725
boiler,MAR,2,1,rp-unet,HoltWinters,0.048681469182952616,0.260831768432331,0.27064234474906257
boiler,MAR,2,1,rp-unet,XGBoost,0.036113084869678784,0.1934970703124918,0.20799897592606306
boiler,MAR,2,1,spec-unet,HoltWinters,0.005266094402213966,0.02821623791866159,0.03342449161812685
boiler,MAR,2,1,spec-unet,XGBoost,0.02125272485904225,0.113873291015625,0.14103710886913162
boiler,MAR,2,2,gaf-unet,HoltWinters,0.013502767975034422,0.07234639586390586,0.07696893451445985
boiler,MAR,2,2,gaf-unet,XGBoost,0.04958292678408029,0.2656711425781168,0.2772087811565452
boiler,MAR,2,2,impute_bfill,HoltWinters,0.011572508269423252,0.0620011562934792,0.07375431449535869
boiler,MAR,2,2,impute_bfill,XGBoost,0.04960385775072166,0.2657810058593668,0.2721939971216238
boiler,MAR,2,2,impute_ffill,HoltWinters,0.011586200751648908,0.062074517328551335,0.07382760666724657
boiler,MAR,2,2,impute_ffill,XGBoost,0.0485022109809121,0.2598789062499918,0.264412556746952
boiler,MAR,2,2,impute_mean,HoltWinters,0.007780216250596642,0.041685465120247046,0.04596268012396909
boiler,MAR,2,2,impute_mean,XGBoost,0.04756987013701913,0.2548801269531168,0.2728911051239482
boiler,MAR,2,2,impute_median,HoltWinters,0.007869283414662795,0.042162677459339194,0.046467865349559455
boiler,MAR,2,2,impute_median,XGBoost,0.04824965522236007,0.25852392578124184,0.27166072120527784
boiler,MAR,2,2,impute_mode,HoltWinters,0.0076593587730998626,0.04103793595406842,0.045218258238161495
boiler,MAR,2,2,impute_mode,XGBoost,0.05051938198712625,0.2706882324218668,0.2763915764874549
boiler,MAR,2,2,interpolate_akima,HoltWinters,0.012227333561306161,0.06550958528185902,0.07742266121947665
boiler,MAR,2,2,interpolate_akima,XGBoost,0.04796582821626319,0.2570041503906168,0.26183837547458655
boiler,MAR,2,2,interpolate_cubic,HoltWinters,0.012145723462247807,0.06507234196664058,0.07693981720720346
boiler,MAR,2,2,interpolate_cubic,XGBoost,0.0487506034568128,0.26120947265624184,0.2669799886398824
boiler,MAR,2,2,interpolate_index,HoltWinters,0.012245046029333516,0.06560447644448004,0.07754940493197884
boiler,MAR,2,2,interpolate_index,XGBoost,0.04902620784172863,0.2626865234374918,0.26779632968002004
boiler,MAR,2,2,interpolate_linear,HoltWinters,0.012245046029333516,0.06560447644448004,0.07754940493197884
boiler,MAR,2,2,interpolate_linear,XGBoost,0.04902620784172863,0.2626865234374918,0.26779632968002004
boiler,MAR,2,2,interpolate_nearest,HoltWinters,0.01158510227601188,0.06206862096663599,0.07385922092237203
boiler,MAR,2,2,interpolate_nearest,XGBoost,0.048257365463993375,0.2585666503906168,0.2643865865564967
boiler,MAR,2,2,interpolate_pchip,HoltWinters,0.012206435176231007,0.06539761689076613,0.07730139716740483
boiler,MAR,2,2,interpolate_pchip,XGBoost,0.04898983468555626,0.26249121093749184,0.26777808807363074
boiler,MAR,2,2,interpolate_polynomial,HoltWinters,0.012165701506361266,0.06517937978572945,0.07705419142780773
boiler,MAR,2,2,interpolate_polynomial,XGBoost,0.0486639033018328,0.2607456054687418,0.2668054791762341
